RICE17 chronology interpolated ages

Citation: James E. Lee, Edward J. Brook, Jeffrey P. Severinghaus, Thomas Blunier, Christo Buizert, T.J. Fudge, Howard Conway, Ed D. Waddington, Frédéric Parrenin, Dorthe Dahl-Jensen, Mai Winstrup, Paul Vallelonga, V. Gabriela Ciobanu, and Nancy Bertler: An 83,000 year old ice core from Roosevelt Island, Ross Sea, Antarctica, Climate of the Past.
 


Notes:
All ages are in years before present (BP), with present set to calendar year 1950 C.E.

0-343 m:	ice age interpolated from ALC
	 	gas ages interpolated b/w FCP's assuming piecewise constant accumulation and a Nye thinning profile

343-746 m:	gas and ice ages interpolated between FCP's assuming piecewise constant accumulation and a Nye thinning profile

>746 m:		gas and ice ages linearly interpolated between age control points
 

Column 1: Depth - meters below surface
Column 2: Ice_Age - years BP
Column 3: Gas_Age - years BP

For questions on the use or construction of this chronology, please contact:

<jlee@coas.oregonstate.edu>     James E. Lee

  
<brooke@geo.oregonstate.edu>	Ed Brook
126.0000 461 301
126.5000 464 304
127.0000 466 306
127.5000 470 309
128.0000 473 311
128.5000 476 314
129.0000 479 316
129.5000 481 318
130.0000 484 321
130.5000 488 323
131.0000 491 326
131.5000 494 328
132.0000 496 331
132.5000 499 333
133.0000 501 336
133.5000 505 338
134.0000 508 340
134.5000 511 343
135.0000 514 345
135.5000 517 348
136.0000 520 350
136.5000 522 353
137.0000 525 355
137.5000 528 358
138.0000 531 360
138.5000 535 363
139.0000 538 365
139.5000 540 368
140.0000 543 370
140.5000 546 373
141.0000 548 375
141.5000 552 378
142.0000 556 380
142.5000 558 382
143.0000 561 385
143.5000 564 387
144.0000 568 391
144.5000 570 395
145.0000 573 399
145.5000 576 403
146.0000 578 407
146.5000 581 411
147.0000 584 416
147.5000 587 420
148.0000 591 424
148.5000 594 428
149.0000 596 432
149.5000 599 436
150.0000 602 441
150.5000 605 445
151.0000 608 449
151.5000 612 453
152.0000 615 457
152.5000 618 462
153.0000 621 466
153.5000 624 470
154.0000 628 474
154.5000 631 478
155.0000 635 483
155.5000 638 487
156.0000 641 491
156.5000 644 495
157.0000 647 499
157.5000 650 504
158.0000 654 508
158.5000 657 512
159.0000 660 516
159.5000 663 521
160.0000 666 525
160.5000 669 529
161.0000 672 533
161.5000 676 538
162.0000 679 542
162.5000 683 546
163.0000 687 550
163.5000 689 555
164.0000 692 559
164.5000 695 563
165.0000 698 568
165.5000 701 572
166.0000 704 576
166.5000 707 580
167.0000 710 585
167.5000 713 589
168.0000 716 593
168.5000 720 598
169.0000 723 602
169.5000 726 605
170.0000 729 608
170.5000 732 611
171.0000 735 614
171.5000 738 617
172.0000 742 620
172.5000 745 623
173.0000 749 625
173.5000 752 628
174.0000 756 631
174.5000 760 634
175.0000 762 637
175.5000 766 640
176.0000 769 643
176.5000 773 646
177.0000 777 649
177.5000 781 652
178.0000 785 655
178.5000 788 658
179.0000 792 661
179.5000 794 663
180.0000 798 666
180.5000 801 669
181.0000 806 672
181.5000 809 675
182.0000 813 678
182.5000 816 681
183.0000 818 684
183.5000 822 687
184.0000 825 690
184.5000 828 693
185.0000 832 696
185.5000 836 699
186.0000 839 702
186.5000 843 705
187.0000 846 708
187.5000 850 711
188.0000 853 714
188.5000 856 717
189.0000 861 720
189.5000 864 723
190.0000 868 726
190.5000 873 729
191.0000 877 732
191.5000 881 735
192.0000 884 738
192.5000 887 741
193.0000 892 744
193.5000 896 747
194.0000 901 750
194.5000 904 753
195.0000 908 757
195.5000 913 760
196.0000 917 764
196.5000 920 767
197.0000 924 770
197.5000 928 774
198.0000 931 777
198.5000 936 781
199.0000 940 784
199.5000 943 787
200.0000 947 791
200.2500 948 792
200.5000 950 794
200.7500 952 796
201.0000 954 798
201.2500 955 799
201.5000 957 801
201.7500 959 803
202.0000 962 804
202.2500 964 806
202.5000 967 808
202.7500 970 810
203.0000 972 811
203.2500 974 813
203.5000 976 815
203.7500 978 816
204.0000 980 818
204.2500 982 820
204.5000 984 822
204.7500 986 823
205.0000 988 825
205.2500 990 827
205.5000 992 828
205.7500 994 830
206.0000 996 832
206.2500 998 834
206.5000 1000 835
206.7500 1002 837
207.0000 1004 839
207.2500 1006 840
207.5000 1008 842
207.7500 1010 844
208.0000 1012 846
208.2500 1014 847
208.5000 1015 849
208.7500 1017 851
209.0000 1020 853
209.2500 1022 854
209.5000 1024 856
209.7500 1026 858
210.0000 1028 859
210.2500 1031 861
210.5000 1032 863
210.7500 1035 865
211.0000 1037 866
211.2500 1040 868
211.5000 1042 870
211.7500 1044 872
212.0000 1046 873
212.2500 1048 875
212.5000 1050 877
212.7500 1053 879
213.0000 1055 880
213.2500 1056 882
213.5000 1059 884
213.7500 1061 886
214.0000 1063 887
214.2500 1065 889
214.5000 1067 891
214.7500 1069 893
215.0000 1070 894
215.2500 1073 896
215.5000 1074 898
215.7500 1076 900
216.0000 1078 901
216.2500 1080 903
216.5000 1083 905
216.7500 1085 907
217.0000 1086 909
217.2500 1088 912
217.5000 1091 915
217.7500 1093 917
218.0000 1095 920
218.2500 1098 923
218.5000 1099 925
218.7500 1102 928
219.0000 1104 930
219.2500 1106 933
219.5000 1108 936
219.7500 1109 938
220.0000 1111 941
220.2500 1113 943
220.5000 1116 946
220.7500 1117 949
221.0000 1120 951
221.2500 1122 954
221.5000 1124 957
221.7500 1126 959
222.0000 1128 962
222.2500 1130 965
222.5000 1133 967
222.7500 1135 970
223.0000 1137 972
223.2500 1140 975
223.5000 1142 978
223.7500 1144 980
224.0000 1146 983
224.2500 1149 986
224.5000 1152 988
224.7500 1154 991
225.0000 1156 994
225.2500 1158 996
225.5000 1161 999
225.7500 1163 1002
226.0000 1166 1004
226.2500 1168 1007
226.5000 1171 1010
226.7500 1174 1012
227.0000 1176 1015
227.2500 1178 1018
227.5000 1180 1020
227.7500 1183 1023
228.0000 1185 1026
228.2500 1187 1028
228.5000 1188 1031
228.7500 1191 1034
229.0000 1194 1036
229.2500 1197 1039
229.5000 1199 1042
229.7500 1202 1044
230.0000 1204 1047
230.2500 1207 1050
230.5000 1210 1052
230.7500 1212 1055
231.0000 1214 1058
231.2500 1217 1060
231.5000 1219 1063
231.7500 1221 1066
232.0000 1223 1068
232.2500 1226 1071
232.5000 1228 1074
232.7500 1230 1076
233.0000 1232 1079
233.2500 1235 1082
233.5000 1237 1084
233.7500 1239 1087
234.0000 1241 1090
234.2500 1243 1093
234.5000 1246 1095
234.7500 1249 1098
235.0000 1250 1101
235.2500 1253 1103
235.5000 1255 1106
235.7500 1257 1109
236.0000 1259 1111
236.2500 1260 1114
236.5000 1263 1117
236.7500 1266 1120
237.0000 1268 1122
237.2500 1270 1125
237.5000 1272 1128
237.7500 1274 1130
238.0000 1276 1133
238.2500 1278 1136
238.5000 1280 1139
238.7500 1282 1141
239.0000 1284 1144
239.2500 1286 1146
239.5000 1288 1148
239.7500 1291 1150
240.0000 1293 1152
240.2500 1296 1154
240.5000 1298 1156
240.7500 1301 1158
241.0000 1304 1160
241.2500 1306 1162
241.5000 1309 1164
241.7500 1311 1165
242.0000 1314 1167
242.2500 1317 1169
242.5000 1319 1171
242.7500 1322 1173
243.0000 1324 1175
243.2500 1325 1177
243.5000 1328 1179
243.7500 1331 1181
244.0000 1334 1183
244.2500 1337 1185
244.5000 1340 1187
244.7500 1344 1189
245.0000 1347 1191
245.2500 1350 1193
245.5000 1353 1195
245.7500 1356 1197
246.0000 1359 1199
246.2500 1362 1201
246.5000 1363 1203
246.7500 1367 1205
247.0000 1370 1207
247.2500 1373 1209
247.5000 1375 1211
247.7500 1378 1213
248.0000 1381 1215
248.2500 1383 1217
248.5000 1386 1219
248.7500 1389 1221
249.0000 1391 1223
249.2500 1394 1225
249.5000 1396 1227
249.7500 1399 1229
250.0000 1402 1231
250.2500 1405 1233
250.5000 1407 1235
250.7500 1409 1237
251.0000 1411 1238
251.2500 1414 1240
251.5000 1417 1242
251.7500 1419 1244
252.0000 1422 1247
252.2500 1424 1250
252.5000 1428 1252
252.7500 1430 1255
253.0000 1433 1258
253.2500 1436 1261
253.5000 1438 1263
253.7500 1440 1266
254.0000 1443 1269
254.2500 1446 1271
254.5000 1449 1274
254.7500 1452 1277
255.0000 1454 1280
255.2500 1457 1282
255.5000 1460 1285
255.7500 1463 1288
256.0000 1466 1290
256.2500 1469 1293
256.5000 1471 1296
256.7500 1473 1299
257.0000 1477 1301
257.2500 1480 1304
257.5000 1482 1307
257.7500 1484 1310
258.0000 1487 1312
258.2500 1491 1315
258.5000 1494 1318
258.7500 1497 1321
259.0000 1500 1323
259.2500 1503 1326
259.5000 1506 1329
259.7500 1509 1332
260.0000 1511 1334
260.2500 1512 1337
260.5000 1515 1340
260.7500 1518 1343
261.0000 1520 1345
261.2500 1522 1348
261.5000 1525 1351
261.7500 1529 1354
262.0000 1532 1356
262.2500 1535 1359
262.5000 1537 1362
262.7500 1539 1365
263.0000 1542 1367
263.2500 1545 1370
263.5000 1548 1373
263.7500 1551 1376
264.0000 1553 1378
264.2500 1557 1381
264.5000 1559 1384
264.7500 1562 1388
265.0000 1566 1391
265.2500 1570 1395
265.5000 1573 1398
265.7500 1575 1401
266.0000 1578 1405
266.2500 1581 1408
266.5000 1584 1411
266.7500 1586 1415
267.0000 1589 1418
267.2500 1592 1422
267.5000 1594 1425
267.7500 1597 1428
268.0000 1600 1432
268.2500 1603 1435
268.5000 1606 1438
268.7500 1609 1442
269.0000 1612 1445
269.2500 1615 1449
269.5000 1617 1452
269.7500 1620 1455
270.0000 1622 1459
270.2500 1625 1462
270.5000 1628 1466
270.7500 1631 1469
271.0000 1633 1472
271.2500 1636 1476
271.5000 1638 1479
271.7500 1641 1483
272.0000 1643 1486
272.2500 1645 1489
272.5000 1647 1493
272.7500 1650 1496
273.0000 1653 1500
273.2500 1656 1503
273.5000 1659 1507
273.7500 1662 1510
274.0000 1665 1513
274.2500 1668 1517
274.5000 1670 1520
274.7500 1673 1524
275.0000 1675 1527
275.2500 1678 1531
275.5000 1680 1534
275.7500 1682 1537
276.0000 1685 1541
276.2500 1688 1544
276.5000 1690 1548
276.7500 1693 1551
277.0000 1696 1554
277.2500 1700 1557
277.5000 1703 1560
277.7500 1706 1563
278.0000 1709 1566
278.2500 1712 1569
278.5000 1715 1572
278.7500 1718 1575
279.0000 1722 1578
279.2500 1725 1581
279.5000 1729 1584
279.7500 1731 1587
280.0000 1734 1590
280.2500 1738 1593
280.5000 1741 1597
280.7500 1744 1600
281.0000 1747 1603
281.2500 1751 1606
281.5000 1754 1609
281.7500 1757 1612
282.0000 1760 1615
282.2500 1763 1618
282.5000 1767 1621
282.7500 1771 1624
283.0000 1774 1627
283.2500 1777 1630
283.5000 1781 1633
283.7500 1786 1636
284.0000 1789 1639
284.2500 1793 1643
284.5000 1796 1646
284.7500 1799 1649
285.0000 1802 1652
285.2500 1806 1655
285.5000 1809 1658
285.7500 1813 1661
286.0000 1816 1664
286.2500 1819 1667
286.5000 1823 1670
286.7500 1827 1673
287.0000 1831 1676
287.2500 1834 1680
287.5000 1837 1683
287.7500 1840 1686
288.0000 1843 1689
288.2500 1846 1692
288.5000 1850 1695
288.7500 1854 1698
289.0000 1857 1701
289.2500 1860 1704
289.5000 1863 1707
289.7500 1867 1710
290.0000 1870 1713
290.2500 1874 1716
290.5000 1878 1719
290.7500 1881 1722
291.0000 1884 1724
291.2500 1888 1727
291.5000 1890 1730
291.7500 1894 1733
292.0000 1897 1736
292.2500 1901 1739
292.5000 1905 1742
292.7500 1908 1745
293.0000 1911 1748
293.2500 1915 1751
293.5000 1918 1754
293.7500 1921 1757
294.0000 1924 1760
294.2500 1927 1763
294.5000 1930 1766
294.7500 1932 1769
295.0000 1935 1772
295.2500 1938 1775
295.5000 1940 1778
295.7500 1944 1781
296.0000 1946 1784
296.2500 1949 1787
296.5000 1953 1790
296.7500 1955 1793
297.0000 1958 1796
297.2500 1961 1799
297.5000 1965 1802
297.7500 1967 1805
298.0000 1971 1808
298.2500 1973 1811
298.5000 1975 1814
298.7500 1978 1817
299.0000 1981 1820
299.2500 1983 1823
299.5000 1987 1826
299.7500 1990 1829
300.0000 1993 1832
300.2500 1998 1835
300.5000 2000 1839
300.7500 2003 1843
301.0000 2006 1846
301.2500 2008 1850
301.5000 2012 1853
301.7500 2015 1857
302.0000 2018 1861
302.2500 2021 1864
302.5000 2025 1868
302.7500 2028 1871
303.0000 2031 1875
303.2500 2035 1879
303.5000 2039 1882
303.7500 2044 1886
304.0000 2047 1890
304.2500 2050 1893
304.5000 2054 1897
304.7500 2057 1900
305.0000 2061 1904
305.2500 2064 1908
305.5000 2068 1911
305.7500 2072 1915
306.0000 2076 1919
306.2500 2079 1922
306.5000 2082 1926
306.7500 2086 1930
307.0000 2089 1933
307.2500 2093 1937
307.5000 2098 1941
307.7500 2101 1944
308.0000 2106 1948
308.2500 2110 1952
308.5000 2114 1955
308.7500 2118 1959
309.0000 2122 1963
309.2500 2126 1966
309.5000 2130 1970
309.7500 2134 1974
310.0000 2138 1977
310.2500 2142 1981
310.5000 2147 1985
310.7500 2150 1988
311.0000 2154 1992
311.2500 2157 1996
311.5000 2161 1999
311.7500 2165 2003
312.0000 2168 2006
312.2500 2172 2010
312.5000 2176 2013
312.7500 2180 2017
313.0000 2184 2020
313.2500 2187 2024
313.5000 2190 2027
313.7500 2194 2031
314.0000 2197 2034
314.2500 2201 2038
314.5000 2205 2042
314.7500 2209 2045
315.0000 2213 2049
315.2500 2217 2052
315.5000 2221 2056
315.7500 2224 2059
316.0000 2228 2063
316.2500 2232 2066
316.5000 2236 2070
316.7500 2239 2073
317.0000 2242 2077
317.2500 2245 2081
317.5000 2250 2084
317.7500 2254 2088
318.0000 2257 2091
318.2500 2261 2095
318.5000 2265 2098
318.7500 2267 2102
319.0000 2270 2105
319.2500 2272 2109
319.5000 2274 2113
319.7500 2277 2116
320.0000 2281 2120
320.2500 2284 2123
320.5000 2288 2127
320.7500 2293 2131
321.0000 2297 2134
321.2500 2301 2138
321.5000 2304 2141
321.7500 2308 2145
322.0000 2311 2148
322.2500 2315 2152
322.5000 2318 2156
322.7500 2321 2160
323.0000 2325 2164
323.2500 2328 2169
323.5000 2332 2173
323.7500 2335 2177
324.0000 2338 2182
324.2500 2341 2186
324.5000 2345 2190
324.7500 2349 2194
325.0000 2352 2199
325.2500 2356 2203
325.5000 2359 2207
325.7500 2362 2212
326.0000 2366 2216
326.2500 2369 2220
326.5000 2373 2224
326.7500 2376 2229
327.0000 2380 2233
327.2500 2383 2237
327.5000 2388 2242
327.7500 2392 2246
328.0000 2396 2250
328.2500 2400 2255
328.5000 2404 2259
328.7500 2408 2263
329.0000 2412 2268
329.2500 2416 2272
329.5000 2419 2276
329.7500 2423 2281
330.0000 2426 2285
330.2500 2431 2289
330.5000 2434 2294
330.7500 2438 2298
331.0000 2441 2302
331.2500 2447 2307
331.5000 2451 2311
331.7500 2455 2315
332.0000 2459 2320
332.2500 2463 2324
332.5000 2467 2328
332.7500 2472 2333
333.0000 2475 2337
333.2500 2479 2341
333.5000 2482 2344
333.7500 2486 2348
334.0000 2490 2351
334.2500 2494 2354
334.5000 2498 2358
334.7500 2501 2361
335.0000 2506 2364
335.2500 2509 2367
335.5000 2513 2371
335.7500 2516 2374
336.0000 2521 2377
336.2500 2525 2380
336.5000 2528 2384
336.7500 2532 2387
337.0000 2536 2390
337.2500 2539 2394
337.5000 2544 2397
337.7500 2549 2400
338.0000 2554 2404
338.2500 2557 2407
338.5000 2562 2410
338.7500 2566 2413
339.0000 2571 2417
339.2500 2575 2420
339.5000 2579 2423
339.7500 2583 2427
340.0000 2588 2430
340.2500 2591 2433
340.5000 2594 2437
340.7500 2598 2440
341.0000 2602 2443
341.2500 2605 2447
341.5000 2609 2450
341.7500 2614 2453
342.0000 2618 2457
342.2500 2622 2460
342.5000 2627 2463
342.7500 2632 2467
343.0000 2636 2470
343.2500 2641 2473
343.5000 2646 2477
343.7500 2652 2480
344.0000 2657 2485
344.2500 2662 2490
344.5000 2667 2495
344.7500 2671 2499
345.0000 2676 2504
345.2500 2681 2509
345.5000 2686 2514
345.7500 2691 2518
346.0000 2695 2523
346.2500 2700 2528
346.5000 2705 2533
346.7500 2710 2537
347.0000 2714 2542
347.2500 2719 2547
347.5000 2724 2552
347.7500 2729 2556
348.0000 2734 2561
348.2500 2738 2566
348.5000 2743 2571
348.7500 2748 2575
349.0000 2753 2580
349.2500 2758 2585
349.5000 2762 2590
349.7500 2767 2595
350.0000 2772 2599
350.2500 2777 2604
350.5000 2782 2609
350.7500 2786 2614
351.0000 2791 2619
351.2500 2796 2623
351.5000 2801 2628
351.7500 2806 2633
352.0000 2811 2638
352.2500 2815 2643
352.5000 2820 2647
352.7500 2825 2652
353.0000 2830 2657
353.2500 2835 2662
353.5000 2840 2667
353.7500 2845 2672
354.0000 2850 2677
354.2500 2855 2683
354.5000 2861 2689
354.7500 2867 2695
355.0000 2873 2700
355.2500 2879 2706
355.5000 2885 2712
355.7500 2890 2718
356.0000 2896 2724
356.2500 2902 2730
356.5000 2908 2736
356.7500 2914 2742
357.0000 2920 2748
357.2500 2925 2754
357.5000 2931 2760
357.7500 2937 2766
358.0000 2943 2772
358.2500 2949 2778
358.5000 2955 2784
358.7500 2961 2790
359.0000 2966 2796
359.2500 2972 2802
359.5000 2978 2808
359.7500 2984 2814
360.0000 2990 2820
360.2500 2996 2826
360.5000 3002 2832
360.7500 3008 2838
361.0000 3014 2844
361.2500 3019 2850
361.5000 3025 2856
361.7500 3031 2862
362.0000 3037 2868
362.2500 3043 2874
362.5000 3049 2880
362.7500 3055 2886
363.0000 3061 2892
363.2500 3067 2898
363.5000 3073 2905
363.7500 3079 2911
364.0000 3084 2916
364.2500 3088 2920
364.5000 3091 2923
364.7500 3095 2927
365.0000 3099 2930
365.2500 3102 2934
365.5000 3106 2937
365.7500 3110 2941
366.0000 3113 2944
366.2500 3117 2948
366.5000 3121 2952
366.7500 3124 2955
367.0000 3128 2959
367.2500 3132 2962
367.5000 3135 2966
367.7500 3139 2969
368.0000 3143 2973
368.2500 3146 2977
368.5000 3150 2980
368.7500 3154 2984
369.0000 3157 2987
369.2500 3161 2991
369.5000 3165 2994
369.7500 3168 2998
370.0000 3172 3002
370.2500 3176 3005
370.5000 3180 3009
370.7500 3183 3012
371.0000 3187 3016
371.2500 3191 3020
371.5000 3194 3023
371.7500 3198 3027
372.0000 3202 3031
372.2500 3206 3034
372.5000 3209 3038
372.7500 3213 3041
373.0000 3217 3045
373.2500 3220 3049
373.5000 3224 3052
373.7500 3228 3056
374.0000 3234 3062
374.2500 3240 3068
374.5000 3245 3073
374.7500 3251 3079
375.0000 3256 3085
375.2500 3262 3091
375.5000 3268 3096
375.7500 3273 3102
376.0000 3279 3108
376.2500 3285 3113
376.5000 3290 3119
376.7500 3296 3125
377.0000 3302 3131
377.2500 3307 3136
377.5000 3313 3142
377.7500 3318 3148
378.0000 3324 3154
378.2500 3330 3159
378.5000 3336 3165
378.7500 3341 3171
379.0000 3347 3177
379.2500 3353 3182
379.5000 3358 3188
379.7500 3364 3194
380.0000 3370 3200
380.2500 3375 3205
380.5000 3381 3211
380.7500 3387 3217
381.0000 3392 3223
381.2500 3398 3229
381.5000 3404 3234
381.7500 3410 3240
382.0000 3415 3246
382.2500 3421 3252
382.5000 3427 3258
382.7500 3432 3263
383.0000 3438 3269
383.2500 3444 3275
383.5000 3447 3278
383.7500 3450 3281
384.0000 3453 3284
384.2500 3456 3287
384.5000 3459 3290
384.7500 3462 3293
385.0000 3465 3296
385.2500 3468 3299
385.5000 3471 3303
385.7500 3474 3306
386.0000 3477 3309
386.2500 3480 3312
386.5000 3483 3315
386.7500 3487 3318
387.0000 3490 3321
387.2500 3493 3325
387.5000 3496 3328
387.7500 3499 3331
388.0000 3502 3334
388.2500 3505 3337
388.5000 3508 3340
388.7500 3511 3343
389.0000 3514 3347
389.2500 3517 3350
389.5000 3521 3353
389.7500 3524 3356
390.0000 3527 3359
390.2500 3530 3362
390.5000 3533 3366
390.7500 3536 3369
391.0000 3539 3372
391.2500 3542 3375
391.5000 3546 3378
391.7500 3549 3382
392.0000 3552 3385
392.2500 3555 3388
392.5000 3558 3391
392.7500 3563 3396
393.0000 3568 3401
393.2500 3573 3406
393.5000 3578 3411
393.7500 3583 3416
394.0000 3588 3421
394.2500 3593 3426
394.5000 3598 3430
394.7500 3603 3435
395.0000 3608 3440
395.2500 3613 3445
395.5000 3618 3450
395.7500 3623 3455
396.0000 3628 3460
396.2500 3633 3465
396.5000 3638 3470
396.7500 3643 3475
397.0000 3648 3480
397.2500 3653 3485
397.5000 3658 3490
397.7500 3663 3495
398.0000 3668 3500
398.2500 3673 3505
398.5000 3678 3510
398.7500 3683 3515
399.0000 3688 3520
399.2500 3693 3525
399.5000 3698 3530
399.7500 3703 3535
400.0000 3708 3540
400.2500 3714 3545
400.5000 3719 3550
400.7500 3724 3555
401.0000 3729 3560
401.2500 3734 3565
401.5000 3739 3570
401.7500 3744 3575
402.0000 3749 3580
402.2500 3753 3585
402.5000 3758 3589
402.7500 3763 3594
403.0000 3768 3599
403.2500 3773 3604
403.5000 3778 3609
403.7500 3783 3614
404.0000 3787 3619
404.2500 3792 3624
404.5000 3797 3629
404.7500 3802 3633
405.0000 3807 3638
405.2500 3812 3643
405.5000 3817 3648
405.7500 3822 3653
406.0000 3826 3658
406.2500 3831 3663
406.5000 3836 3668
406.7500 3841 3673
407.0000 3846 3678
407.2500 3851 3683
407.5000 3856 3688
407.7500 3861 3693
408.0000 3866 3697
408.2500 3871 3702
408.5000 3876 3707
408.7500 3881 3712
409.0000 3885 3717
409.2500 3890 3722
409.5000 3895 3727
409.7500 3900 3732
410.0000 3905 3737
410.2500 3910 3742
410.5000 3915 3747
410.7500 3918 3751
411.0000 3922 3754
411.2500 3926 3758
411.5000 3930 3762
411.7500 3934 3766
412.0000 3938 3770
412.2500 3942 3774
412.5000 3945 3778
412.7500 3949 3782
413.0000 3953 3785
413.2500 3957 3789
413.5000 3961 3793
413.7500 3965 3797
414.0000 3969 3801
414.2500 3973 3805
414.5000 3976 3809
414.7500 3980 3813
415.0000 3984 3817
415.2500 3988 3821
415.5000 3992 3825
415.7500 3996 3828
416.0000 4000 3832
416.2500 4004 3836
416.5000 4008 3840
416.7500 4011 3844
417.0000 4015 3848
417.2500 4019 3852
417.5000 4023 3856
417.7500 4027 3860
418.0000 4031 3864
418.2500 4035 3868
418.5000 4039 3872
418.7500 4043 3876
419.0000 4047 3880
419.2500 4051 3883
419.5000 4054 3887
419.7500 4058 3891
420.0000 4062 3894
420.2500 4065 3898
420.5000 4069 3902
420.7500 4073 3906
421.0000 4077 3909
421.2500 4080 3913
421.5000 4084 3917
421.7500 4088 3920
422.0000 4092 3924
422.2500 4095 3928
422.5000 4099 3931
422.7500 4103 3935
423.0000 4107 3939
423.2500 4111 3943
423.5000 4114 3946
423.7500 4118 3950
424.0000 4122 3954
424.2500 4126 3957
424.5000 4129 3961
424.7500 4133 3965
425.0000 4137 3969
425.2500 4141 3972
425.5000 4145 3976
425.7500 4148 3980
426.0000 4152 3984
426.2500 4156 3987
426.5000 4160 3991
426.7500 4164 3995
427.0000 4168 3999
427.2500 4171 4002
427.5000 4175 4006
427.7500 4180 4011
428.0000 4185 4016
428.2500 4190 4021
428.5000 4195 4026
428.7500 4200 4031
429.0000 4204 4035
429.2500 4209 4040
429.5000 4214 4045
429.7500 4219 4050
430.0000 4224 4055
430.2500 4229 4060
430.5000 4234 4065
430.7500 4238 4069
431.0000 4243 4074
431.2500 4248 4079
431.5000 4253 4084
431.7500 4258 4089
432.0000 4263 4094
432.2500 4268 4099
432.5000 4272 4103
432.7500 4277 4108
433.0000 4282 4113
433.2500 4287 4118
433.5000 4292 4123
